Word	Frequency
酒	1063
酒醒	245
把酒	174
有	107
杯酒	102
与	98
谁	98
月	95
更	92
酒杯	85
且	80
醉	78
时	77
尊酒	76
年	74
人	74
对	73
是	70
我	68
为	67
好	65
春酒	63
得	62
斟	61
把	60
又	60
愁	58
尽	56
一	56
载酒	56
劝	55
也	55
沽酒	54
殢	53
卮	52
□	52
还	52
去	51
阑	50
笑	50
酒边	49
来	49
寿酒	49
春	48
不	45
中	44
何处	44
香	43
诗	43
在	42
宿酒	41
欲	41
一杯	40
酒力	40
须	39
中酒	39
美酒	38
向	37
和	37
罢	37
馀	36
浓	36
问	35
便	35
都	35
共	35
倾	35
歌	35
诗酒	35
处	34
酒面	34
吹	34
东风	33
白酒	33
却	33
花	32
十分	32
但	32
满	32
一尊	31
到	31
听	31
相逢	31
待	31
锺	31
新	31
别酒	31
风流	31
黄花	31
无	30
劝酒	30
酒病	30
上	30
对酒	29
芳酒	29
酒旗	29
举酒	29
初醒	29
携酒	29
看	28
恨	27
一笑	27
老	26
酒香	26
病酒	26
酌酒	26
后	26
醒	26
人间	26
归	25
睡	25
酹	25
岁	25
有酒	25
酒晕	25
浊酒	25
宽	25
将	25
被	25
长生	24
厌厌	24
情怀	24
樽	24
红	23
凭	23
酒盏	23
酒入	23
了	23
已	23
何妨	22
酒兴	22
归去	22
如此	22
曾	22
多	22
深	22
记	21
里	21
倚	21
西风	21
歌酒	21
前	21
酒肠	21
残酒	21
明朝	21
一曲	20
他	20
空	20
怕	20
如	20
只	20
未	20
饮	20
觞	19
酒量	19
说	19
尊前	19
梦	19
花前	19
酒满	19
酒家	19
送	19
绿	18
归来	18
暖	18
陪	18
今朝	18
斗酒	18
旗亭	17
饮酒	17
明月	17
篘	17
酒痕	17
重	17
寿	17
殷勤	17
难忘	17
西湖	17
酒花	17
莫	17
道	16
金	16
当年	16
正	16
无酒	16
梅花	16
闲	16
初	16
不须	16
酒徒	16
似	16
新酒	16
故人	16
如今	16
风	16
那	16
市	15
去年	15
慵	15
熟	15
同	15
下	15
劝君	15
绿酒	15
事	15
煮	15
如酒	15
题诗	15
无聊	15
才	15
小	15
船	15
醺醺	15
清歌	15
休	15
买	15
留	14
寒	14
可	14
杯	14
高歌	14
对酒当歌	14
梦断	14
尊	14
无人	14
三	14
病	14
唤	14
渑	14
山中	14
莫辞	14
见	14
持酒	14
无奈	14
酒中	13
浅	13
茶	13
玉	13
亦	13
客	13
趁	13
春风	13
无力	13
时节	13
酒且	13
残	13
浓如酒	13
莫惜	13
垆	13
渊明	13
三杯	13
酾	13
不禁	13
高	13
付	13
碧	13
相思	13
千岁	13
笙歌	13
今夜	13
添	13
阑干	13
何时	13
春色	13
菖蒲	13
约	13
迟	13
枕	13
梦回	13
要	13
别	12
棹	12
阳关	12
长	12
孤	12
心情	12
东篱	12
无限	12
於	12
寻	12
日	12
置酒	12
忘	12
能	12
天气	12
旧	12
敧	12
酥	12
多谢	12
困	12
吾	12
金杯	12
酒楼	12
冷	12
从	12
酒熟	12
落	12
起	12
老去	12
平生	12
闲愁	12
酒阑歌	11
弦	11
青梅	11
自	11
酣	11
斜阳	11
花间	11
烟	11
主人	11
寄	11
诗情	11
滋味	11
愁肠	11
十千	11
而今	11
地	11
逢	11
唱	11
雪	11
飞驭	11
酒伴	11
伴	11
酿酒	11
花枝	11
夜	11
犹	11
减	11
催	11
知	11
雨	11
坐	11
起舞	10
瘦	10
凄凉	10
载	10
醉酒	10
多少	10
舞	10
相对	10
云	10
赢得	10
钱	10
今年	10
泪	10
酲	10
寂寞	10
持	10
临风	10
情绪	10
薄酒	10
难	10
携手	10
半醒	10
晚	10
何人	10
长安	10
远	10
黄	10
酴	10
爱酒	10
弄	10
今日	10
杯中酒	10
觥	10
夜来	10
添酒	10
浮	10
酒到	10
休辞	10
今宵	10
斜	10
散	10
小槽	10
捧	10
因酒	10
罍	10
情	10
玉壶	10
明年	10
多情	10
赐	9
风月	9
凝	9
千里	9
畔	9
赊	9
狂	9
祝	9
不妨	9
酒须	9
谩	9
千	9
黄鸡	9
贳	9
之	9
酒后	9
富贵	9
何须	9
携	9
春愁	9
乾	9
留连	9
当	9
高楼	9
消磨	9
风光	9
登临	9
黄昏	9
花边	9
酒行	9
风吹	9
飘零	9
唤酒	9
朱颜	9
长亭	9
那堪	9
回首	9
不成	9
酒泉	9
浇	9
荐	9
觅	9
消	9
薄	9
消遣	9
再	9
若	9
晕	9
还是	9
孤负	9
依旧	8
酒泛	8
惟酒	8
边	8
歌舞	8
醿	8
拚	8
残妆	8
爱	8
鬓	8
不尽	8
不知	8
酒船	8
翠	8
不是	8
当歌	8
瓮	8
酒初	8
随	8
玉酒	8
昨夜	8
匆匆	8
不见	8
娇	8
筵	8
吟诗	8
当时	8
绣	8
频倾	8
醺	8
不堪	8
重阳	8
疏	8
分付	8
呼酒	8
衾	8
酒美	8
单衣	8
明日	8
回	8
遇酒	8
就	8
离愁	8
依然	8
嫌	8
著	8
时候	8
南山	8
春光	8
轻	8
翻	8
有客	8
成	8
风味	8
短	8
少年	8
喜	8
蟠桃	8
恶	8
相	8
脸	8
从此	8
醅	8
滟	8
南浦	8
潋滟	8
懒	8
想	8
旋	8
酒色	8
金盏	8
惆怅	8
鹅黄	8
莫问	8
不用	7
惟有	7
人家	7
细酌	7
宿	7
乱	7
落花	7
追	7
醒酒	7
行	7
酒能	7
矣	7
不如	7
问酒	7
扶头	7
真	7
真珠	7
酒令	7
窄	7
只愁	7
长记	7
巡未止	7
尊中酒	7
江南	7
偏宜	7
老来	7
华堂	7
阑珊	7
夜阑	7
酒滴	7
传酒	7
应	7
金缕	7
光阴	7
青楼	7
半	7
白发	7
两	7
银瓶	7
美	7
棋	7
进酒	7
相忘	7
一番	7
悭	7
酽	7
秋	7
取酒	7
亭	7
江山	7
酒如	7
意	7
尝	7
卖	7
相见	7
园林	7
酒壶	7
做	7
楼上	7
长啸	7
山	7
住	7
近	7
多病	7
试酒	7
听歌	7
著酒	7
憔悴	7
浇愁	7
心事	7
人散	6
卯	6
芳	6
万事	6
枕上	6
提壶	6
相与	6
盏	6
何曾	6
面	6
寻常	6
半酣	6
吹箫	6
日日	6
折	6
争似	6
记得	6
鲈	6
红粉	6
横波	6
斝	6
帘幕	6
绮	6
寒食	6
淡酒	6
清香	6
肠断	6
茱萸	6
奈	6
仍	6
安排	6
陌	6
剩	6
十年	6
乐事	6
徘徊	6
红潮	6
聊	6
露	6
总	6
几度	6
功名	6
年少	6
倾倒	6
论文	6
今	6
堕	6
任	6
前欲	6
斗	6
蟹	6
暮	6
几番	6
酒味	6
新愁	6
新词	6
间	6
此	6
黄封酒	6
浓似	6
寻芳	6
酿成	6
扶	6
诗兴	6
堪	6
摘	6
鳞	6
朱	6
垂	6
戏	6
侣	6
深深	6
使	6
酒里	6
不能	6
伊	6
叹	6
容易	6
酒尽	6
恼人	6
酒中仙	6
外	6
从容	6
换酒	6
鲈鱼	6
画堂	6
忺	6
似酒	6
酤	6
微醺	6
欢	6
满酌	6
万里	6
欢笑	6
尊空	6
发	6
满地	6
家	6
人生	6
佳人	6
鸭	6
生涯	6
思量	6
行乐	6
苦	6
谁知	6
断	6
破	6
偏	6
狂歌	6
菊	6
一年	6
细	6
高阳	6
笛	6
风雨	6
无穷	6
羹	6
蔷薇	6
沽	6
登楼	6
忆	6
遣	6
清	6
酒狂	6
未醒	6
过	6
酒困	6
看花	6
冰	6
悲歌	5
只恐	5
从教	5
使君	5
酣酒	5
祝君	5
眉峰	5
长年	5
眼前	5
金船	5
肥	5
呷	5
醒来	5
千秋	5
驻	5
隔	5
透	5
歌扇	5
断送	5
带	5
酒红	5
月华	5
可惜	5
愁来	5
从来	5
鹅儿	5
君王	5
入	5
桃李	5
处处	5
尚	5
天涯	5
作	5
一霎	5
楼	5
十载	5
不到	5
解	5
难禁	5
飞	5
争	5
青旗	5
插花	5
倦	5
花期	5
冷落	5
潮红	5
拍	5
非	5
共醉	5
酒禁	5
欢娱	5
闲情	5
闻道	5
醉倒	5
先生	5
斟别	5
随人	5
妆	5
渌	5
负	5
几回	5
何如	5
红楼	5
停	5
香腮	5
除非	5
掩	5
讴	5
算	5
酒尊	5
帘	5
谈笑	5
沈	5
伤	5
歌楼	5
退	5
千杯	5
拈	5
萼	5
羔儿	5
路	5
频	5
扁舟	5
渐	5
翠袖	5
一梦	5
山歌	5
花下	5
花外	5
转	5
眠	5
悲秋	5
门外	5
米	5
试	5
至	5
留取	5
清夜	5
笑语	5
来时	5
诗思	5
亸	5
初度	5
风前	5
画楼	5
管	5
自笑	5
莫放	5
聚	5
鲸	5
最	5
身世	5
螯	5
明	5
鲁酒	5
清愁	5
诗人	5
莺	5
夕阳	5
乐	5
酒社	5
韶华	5
宜城	5
红妆	5
傍	5
西楼	5
年华	5
新诗	5
一醉	5
花酒	5
快	5
可怜	5
消酒	5
玉肌	5
书	5
今夕	5
手	5
碧筒	5
幸有	5
挂	4
兴亡	4
空山	4
酒薄愁	4
诗坛	4
天	4
酒兵	4
画角	4
花落	4
买花	4
无端	4
曲	4
扬州	4
儿女	4
属	4
银烛	4
泪痕	4
两盏	4
霜	4
低	4
衰颜	4
画船	4
何	4
急	4
诗社	4
车载	4
拼	4
寻诗	4
扇	4
滴	4
情味	4
浑	4
冰肌	4
犹记	4
别后	4
不醉	4
比	4
犹困	4
一枕	4
久	4
夜深	4
酒酣	4
诗阄	4
晴	4
因	4
怯	4
寒欺	4
些	4
世间	4
胭脂	4
酒醉	4
爇	4
胸中	4
褪	4
消除	4
软	4
按	4
白玉	4
一任	4
太平	4
中夜	4
日长	4
酒阑时	4
天上	4
论诗	4
一壶酒	4
绕	4
鸣	4
再三	4
故园	4
奈何	4
棋酒	4
黄堂	4
人静	4
今古	4
湖	4
渔樵	4
芳心	4
无语	4
惟	4
依依	4
冻	4
酒频	4
赋	4
几许	4
微红	4
圣	4
千日	4
游	4
重载	4
蓬莱	4
倒	4
滑	4
早	4
君	4
谪仙	4
换	4
话	4
社酒	4
人病	4
帏	4
发妆酒	4
白	4
深院	4
巷陌	4
行歌	4
神仙	4
旆	4
仗	4
子	4
一簇	4
老子	4
君家	4
溪	4
只鸡斗酒	4
酩酊	4
挽	4
镇	4
斟酒	4
诗句	4
所	4
忘忧	4
别有	4
共君	4
卖酒	4
风露	4
如何	4
同酌	4
酌	4
一声	4
鸥	4
梦魂	4
恁	4
况	4
一时	4
酒豪	4
池塘	4
量	4
供	4
长是	4
足	4
歌声	4
颊	4
灯花	4
煎	4
伤春	4
儿酒	4
城南	4
骑	4
百年	4
相如	4
到处	4
频举	4
淡	4
扫	4
献	4
初尝	4
乡	4
数声	4
愁城	4
春衫	4
脸霞	4
残月	4
世事	4
暗	4
晓	4
洞庭	4
横笛	4
颜色	4
公堂	4
海棠	4
排遣	4
泛	4
落日	4
酒思	4
卷帘	4
应是	4
且莫	4
灯火	4
鸡	4
贱	4
新丰	4
断肠	4
旧日	4
等	4
往事	4
少	4
芳草	4
健	4
酒愁	4
深沈	4
味	4
中秋	4
草草	4
玻璃	4
同载	4
桂花	4
花影	4
微	4
将进酒	4
腮	4
粉	4
西窗	4
浥	4
抱	4
香脸	4
酒圣	4
双	4
不断	4
踏青	4
诗囊	4
疏狂	4
愿	4
问君	4
烦恼	4
胡床	4
酒半醺	4
灯前	4
征衫	4
三月	4
甚	4
吴姬	4
水	4
初熟	4
须知	4
深倾	4
轻寒	4
满船	4
翁	4
力	4
朱唇	4
酒肆	4
村	4
榼	4
台上	4
重来	4
从前	4
愔	4
帐	4
有人	4
青杏	4
生前	4
痛饮	4
不管	4
阴	4
青春	4
名	4
元	4
良辰	4
宴	4
满眼	4
闲中	4
送君	4
南邻	4
重见	4
诗盟	4
消愁	4
千万	4
粉面	4
登高	4
传杯	4
声	4
迟留	4
客来	4
归兴	4
藏	4
长春	4
纤纤	4
未解	4
开怀	4
邀	4
晓窗	4
应须	4
眼	4
索酒	4
移	4
强	4
烛暗	4
在手	4
气	4
诗豪	4
对花	4
无计	4
忘形	4
桥边	4
未了	4
酒盈	4
融春	4
酒似	4
倒卧	4
如许	4
无客	4
满劝	4
晕酒	4
醁	3
罗绮	3
挼	3
相遇	3
细看	3
占	3
瀛洲	3
相映	3
危楼	3
酒侣	3
买酒	3
写	3
只有	3
依前	3
语	3
田舍	3
泻	3
小楼	3
亲	3
分外	3
全醒	3
料	3
空对	3
上客	3
裘	3
绿阴	3
不似	3
琵琶	3
泥	3
醉来	3
盈杯	3
别离	3
信道	3
否	3
著人	3
离别	3
准拟	3
一片	3
不曾	3
相酬	3
熏	3
浮生	3
绿野	3
暗度	3
离弦	3
千年	3
先醉	3
邻家	3
何似	3
各	3
几日	3
相属	3
鱼	3
春来	3
郡	3
著意	3
怨	3
难觅	3
酒成	3
舟	3
舣	3
人远	3
频上	3
倾酒	3
贵	3
婵娟	3
此时	3
春思	3
酒酿	3
婆娑	3
初试	3
照	3
乾坤	3
更深	3
月明	3
方	3
父老	3
名园	3
催酒	3
庆	3
亲朋	3
年时	3
沈醉	3
暝	3
双颊	3
愁须	3
只怕	3
正是	3
蒲萄酒	3
残红	3
离恨	3
漏	3
旧事	3
幽芳	3
之心	3
桑落	3
行人	3
此生	3
东君	3
恰如	3
饭	3
鲙	3
看取	3
竹叶	3
逢花	3
皆	3
似玉	3
诗酒社	3
怀抱	3
酒客	3
纵	3
围坐	3
有些	3
眉寿	3
晚风	3
人人	3
青帘	3
深意	3
不语	3
恩波	3
莫教	3
昨	3
粟	3
兴来	3
酒情	3
近来	3
离情	3
嫩	3
识	3
漉	3
粲	3
而	3
倚遍	3
糁	3
闷酒	3
翠缕	3
传宣	3
更衣	3
李	3
更阑	3
吹散	3
长沙	3
香薰	3
乘兴	3
蚁	3
朝霞	3
春似	3
箧	3
花里	3
压	3
情浓	3
醋	3
醉乡	3
徐倾	3
等闲	3
酡	3
不应	3
陈	3
囊	3
楼头	3
蟾	3
辞	3
迥	3
渠	3
乱鸦	3
短亭	3
清酒	3
呼童	3
渡江	3
欺	3
挹	3
此际	3
尚有	3
招	3
传觞	3
风景	3
流水	3
开	3
灶	3
帘外	3
儿	3
名酒	3
羔酒	3
酒深	3
聊为	3
须要	3
升平	3
因缘	3
曾见	3
尊中	3
江湖	3
青天	3
忧	3
敌	3
酒意	3
花香	3
侬	3
度	3
秋风	3
诗狂	3
金蕉	3
奏	3
船载	3
赖	3
暂时	3
河桥	3
犹未	3
新声	3
黄菊	3
飞絮	3
悠悠	3
卖薪	3
觉	3
江村	3
儿孙	3
借酒	3
共酌	3
会	3
横	3
不觉	3
钗	3
酒重	3
相过	3
眼看	3
流	3
金钗	3
喝	3
歌断	3
五更	3
三行	3
家家	3
酒星	3
春梦	3
不教	3
拟	3
欠	3
桃叶	3
回肠	3
两行	3
仙家	3
惊	3
岁晚	3
涴	3
刚	3
空酒	3
满泛	3
偶然	3
浓酒	3
倦游	3
银	3
红生	3
付与	3
同饮	3
酒遣	3
相随	3
销愁	3
酒空	3
幽人	3
云去	3
胜	3
恰	3
东邻	3
催去	3
野店	3
临花	3
历历	3
东	3
无事	3
清明	3
携斗酒	3
促	3
恨少	3
鞭	3
花底	3
笺	3
高吟	3
一卷	3
料理	3
红霞	3
此恨	3
红裙	3
拂拂	3
金尊	3
吟	3
正好	3
筇	3
离亭	3
飞花	3
围棋	3
残花	3
南楼	3
起来	3
散酒	3
一分	3
霞	3
酒筵	3
吃	3
感慨	3
桂酒	3
新开	3
画烛	3
低迷	3
鸳鸯	3
那时	3
冰轮	3
有情	3
临酒	3
从头	3
浮蚁	3
玉人	3
商量	3
酒易	3
红萸	3
清无梦	3
无情	3
怪	3
梅	3
安得	3
恼	3
秋千	3
记年	3
太白	3
《	3
》	3
庭院	3
销春	3
谁家	3
筒	3
几时	3
故	3
侧	3
忽	3
诗肠	3
清狂	3
零落	3
秾	3
念	3
呼斗酒	3
四时	3
殿	3
水边	3
新亭	3
离	3
水调	3
梨花	3
歌笑	3
无尽	3
空阔	3
醉后	3
春情	3
清风	3
春寒	3
酬	3
真个	3
拂	3
无数	3
愁绪	3
醪	3
江头	3
黯	3
取	3
乍	3
支持	3
咽	3
掀髯	3
玉炉	3
筹边	3
鼓	3
盛酒	3
争劝	3
颂	3
枝头	3
开颜	3
春宵	3
鞍	3
蘸	3
生香	3
难醒	3
新来	3
不记	3
独倚	3
微带	3
称觞	3
重温	3
除	3
仙酒	3
争奈	3
放	3
挑灯	3
玉山	3
诗愁	3
花恼	3
荷花	3
篇	3
酿	3
南极	3
腻	3
舆	3
一半	3
唤回	3
吃些	3
夸	3
春心	3
嗟	3
一点	3
慵举	3
青山	3
自有	3
睡觉	3
睡起	3
离骚	3
黄金	3
留客	3
赋诗	3
有时	3
半醉	3
西东	3
风力	3
泪滴	3
浅酒	3
绛	3
深情	3
开眉	3
清泪	3
烹茶	3
侯	3
诗筹	3
一盏	3
床头	3
前村	3
酒阑人散	3
点检	3
霜天	3
身后	3
耳	3
酒酣耳热	3
背	3
意绪	3
再拜	3
春恨	3
赤壁	3
对景	3
恣	3
麻姑	3
酒滟	3
孤烟	3
寒色	3
桡	3
百分	3
残阳	3
瀹	3
茗	3
牡丹	3
佳景	3
红日	3
几	3
宜酒	3
许多	3
全消	3
拍浮	3
买春	3
无味	3
九	3
谢	3
偷	3
如故	3
前度	3
百万	3
戴花	3
兰堂	3
佳节	3
无鱼	3
当日	3
夜凉	3
进	3
归心	3
津亭	3
壶	3
村酒	3
乞浆得酒	3
淡月	3
擘	3
诗朋酒	3
稀	3
眉间	3
一斤	3
尊凉	3
白鱼	3
羁旅	3
歌席	3
恹恹	3
怎	3
皓月	3
一阵	3
竞	3
杏花	3
望	3
酒满霞	3
梅边	3
茅檐	3
萧索	3
花迷	3
须信	3
酒容	3
漾	3
从今	3
买花载	3
何事	3
持杯	3
唇	3
斟酌	3
红酒	3
小院	3
怎得	3
残梦	3
清漏	3
香雪	3
百里	3
夜雨	3
千古	3
嫦娥	3
玉皇	3
压酒	3
不住	3
金壶	3
千金	3
生朝	3
碧酒	3
任酒	3
颜红	3
乘	3
欢游	3
闻	3
琴	3
有花	3
如川	3
追游	3
思	3
旧愁	3
彩衣	3
篆	2
早是	2
西邻	2
废	2
渐酒	2
寄语	2
行春	2
龙	2
瀛	2
珍重	2
文章	2
经行	2
应醉	2
飞云	2
临岐	2
引觞	2
微风	2
茶香	2
鹤发	2
豪	2
盘中	2
趣	2
浮金	2
莫放酒	2
坐中客	2
齐上	2
向晚	2
未尽	2
赋得	2
珠翠	2
栏干	2
瑞气	2
秋光	2
�	2
任教	2
飐	2
酒未醒	2
斜举	2
蛆	2
东西	2
罩	2
酒户	2
芳菲	2
酥融	2
山间	2
指似	2
啄	2
下酒	2
花易	2
黍	2
枉	2
鸣筝	2
肠	2
呵	2
最好	2
甚酒	2
湖山	2
孤村	2
酒微醒	2
明风细	2
酒帘	2
横斜	2
吹笙	2
共语	2
金荷	2
疏影	2
入梦	2
酒仙	2
指	2
轻误	2
明夜	2
霏霏	2
前日	2
坟土	2
厚	2
琉璃	2
曾记	2
命酒	2
歌舞升平	2
月底	2
寿岳峰	2
养生	2
常记	2
寿星	2
祝椿龄	2
池畔	2
且寿	2
酒散	2
好景	2
欤	2
酒馆	2
箫	2
活计	2
焚香	2
翻成	2
相恼	2
酒外	2
那边	2
犹有	2
既	2
元宵	2
诗酒琴	2
酒如泉	2
兴发	2
争持	2
饧	2
盈盈	2
衿	2
披	2
期君眉寿	2
君为	2
飞琼	2
啼莺	2
城	2
千顷	2
醽	2
如旧	2
费尽	2
夜寒	2
浮春	2
酒子	2
戏彩堂	2
剑	2
冲寒	2
夜酒	2
祝龟龄	2
放怀	2
筵酒	2
诸妇	2
属客	2
柳	2
嗅	2
浑不似	2
思归	2
相违	2
相续	2
奉	2
收	2
折取	2
腰围	2
一顾	2
酒软	2
遍	2
敢劝	2
长日	2
催客	2
火	2
凤池	2
得意	2
消息	2
御炉	2
船空	2
氤氲	2
犹能	2
今昔	2
此外	2
田家	2
折花	2
吹醒	2
长歌	2
迢迢	2
心目	2
酒盈尊	2
琴书	2
缓歌	2
敢	2
…	2
争妍	2
浮酒	2
祭酒	2
行迟	2
绿波	2
平泉	2
糕	2
春意浓	2
虽有	2
则	2
寿算	2
直	2
便携	2
如织	2
外事	2
无比	2
金泥	2
阻	2
鼓吹	2
此行	2
桃花	2
瑶池	2
雕	2
词源	2
船头	2
忍负	2
春衣	2
无肴	2
繁华	2
件	2
凭酒	2
芗	2
红颜	2
不愿	2
诸公	2
它	2
西出	2
羞	2
灯尽	2
记试	2
华	2
未央	2
家山	2
容	2
酒销	2
酒压	2
烘	2
湖边	2
戏鼓	2
长条	2
浮云	2
月白风清	2
瓶	2
贮酒	2
洛阳	2
酣眠	2
流连	2
倚歌	2
拶	2
西园	2
生酒面	2
歜	2
兽炭	2
侍	2
满怀	2
参差	2
江北	2
色	2
簪花	2
欺病	2
记前	2
寻春	2
户	2
腰	2
不独	2
香残	2
阆苑	2
唯有	2
不减	2
渔乡	2
晴昼	2
凉月	2
筹酒	2
太守	2
摇曳	2
莫道	2
嬉	2
乐意	2
花花	2
赖有	2
影里	2
酒盟	2
前时	2
招魂	2
阶	2
树	2
如洗	2
渭城	2
初生	2
更添	2
诗朋酒侣	2
更须	2
新妆	2
勾引	2
不待	2
纤手	2
杳	2
自从	2
秋娘	2
